created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2019-11-07 00:10:34 -02,170,28.88000,71.11035,101290.03906,,,,
2019-11-07 00:10:54 -02,171,28.87000,71.14160,101288.87500,,,,
2019-11-07 00:11:15 -02,172,28.85000,71.22949,101279.89063,,,,
2019-11-07 00:11:36 -02,173,28.83000,71.31934,101289.15625,,,,
2019-11-07 00:11:57 -02,174,28.85000,71.29980,101277.76562,,,,
2019-11-07 00:12:17 -02,175,28.85000,71.29980,101277.76562,,,,
2019-11-07 00:12:38 -02,176,28.88000,71.32813,101278.67187,,,,
2019-11-07 00:12:59 -02,177,28.92000,71.23047,101289.25000,,,,
2019-11-07 00:13:19 -02,178,28.91000,71.14941,101283.00781,,,,
2019-11-07 00:13:40 -02,179,28.93000,71.10547,101276.28125,,,,
2019-11-07 00:14:01 -02,180,28.95000,71.05176,101283.54687,,,,
2019-11-07 00:14:21 -02,181,28.92000,71.01270,101280.09375,,,,
2019-11-07 00:14:42 -02,182,28.87000,71.04980,101272.42969,,,,
2019-11-07 00:15:03 -02,183,28.89000,71.05273,101273.42187,,,,
2019-11-07 00:15:23 -02,184,28.88000,71.03027,101277.32031,,,,
2019-11-07 00:15:44 -02,185,28.88000,70.97168,101273.00000,,,,
2019-11-07 00:16:05 -02,186,28.89000,70.96094,101266.81250,,,,
2019-11-07 00:16:25 -02,187,28.87000,70.99316,101273.10938,,,,
2019-11-07 00:16:46 -02,188,28.87000,70.95801,101269.80469,,,,
2019-11-07 00:17:07 -02,189,28.85000,70.94434,101269.46094,,,,
2019-11-07 00:17:27 -02,190,28.84000,71.03418,101267.87500,,,,
2019-11-07 00:17:48 -02,191,28.83000,71.05566,101267.62500,,,,
2019-11-07 00:18:09 -02,192,28.80000,71.09570,101272.30469,,,,
2019-11-07 00:18:30 -02,193,28.82000,71.09863,101274.90625,,,,
2019-11-07 00:18:50 -02,194,28.83000,71.08984,101279.23437,,,,
2019-11-07 00:19:11 -02,195,28.82000,71.08887,101275.59375,,,,
2019-11-07 00:19:32 -02,196,28.84000,71.02246,101275.50781,,,,
2019-11-07 00:19:52 -02,197,28.83000,71.04395,101276.43750,,,,
2019-11-07 00:20:13 -02,198,28.79000,71.14160,101274.42187,,,,
2019-11-07 00:20:34 -02,199,28.79000,71.18750,101266.79687,,,,
2019-11-07 00:20:54 -02,200,28.83000,71.11328,101273.64062,,,,
2019-11-07 00:21:15 -02,201,28.85000,71.04688,101271.82812,,,,
2019-11-07 00:21:36 -02,202,28.83000,71.05566,101271.94531,,,,
2019-11-07 00:21:56 -02,203,28.84000,71.05762,101268.13281,,,,
2019-11-07 00:22:17 -02,204,28.87000,71.00391,101269.71875,,,,
2019-11-07 00:22:38 -02,205,28.87000,70.94727,101269.89063,,,,
2019-11-07 00:22:58 -02,206,28.83000,70.91797,101270.07812,,,,
2019-11-07 00:23:19 -02,207,28.84000,71.01172,101267.96875,,,,
2019-11-07 00:23:40 -02,208,28.80000,71.05176,101267.05469,,,,
2019-11-07 00:24:01 -02,209,28.80000,71.04004,101265.53125,,,,
2019-11-07 00:24:22 -02,210,28.78000,71.10449,101263.65625,,,,
2019-11-07 00:24:42 -02,211,28.79000,71.15332,101263.06250,,,,
2019-11-07 00:25:03 -02,212,28.79000,71.12988,101258.57031,,,,
2019-11-07 00:25:24 -02,213,28.80000,71.12988,101262.72656,,,,
2019-11-07 00:25:44 -02,214,28.80000,71.13184,101266.12500,,,,
2019-11-07 00:26:05 -02,215,28.78000,71.16309,101271.37500,,,,
2019-11-07 00:26:26 -02,216,28.80000,71.20020,101263.66406,,,,
2019-11-07 00:26:47 -02,217,28.83000,71.15918,101263.64062,,,,
2019-11-07 00:27:07 -02,218,28.84000,71.06836,101261.43750,,,,
2019-11-07 00:27:28 -02,219,28.85000,71.01270,101266.75000,,,,
2019-11-07 00:27:49 -02,220,28.80000,71.04004,101256.62500,,,,
2019-11-07 00:28:09 -02,221,28.78000,71.09277,101254.67187,,,,
2019-11-07 00:28:30 -02,222,28.76000,71.14746,101255.96875,,,,
2019-11-07 00:28:51 -02,223,28.76000,71.17188,101260.29688,,,,
2019-11-07 00:29:12 -02,224,28.77000,71.16211,101254.50000,,,,
2019-11-07 00:29:32 -02,225,28.77000,71.16016,101256.31250,,,,
2019-11-07 00:29:53 -02,226,28.80000,71.12988,101256.28125,,,,
2019-11-07 00:30:14 -02,227,28.82000,71.05469,101251.42188,,,,
2019-11-07 00:30:34 -02,228,28.83000,71.04297,101246.00000,,,,
2019-11-07 00:30:55 -02,229,28.84000,71.01172,101254.23437,,,,
2019-11-07 00:31:16 -02,230,28.81000,70.99609,101258.96875,,,,
2019-11-07 00:31:37 -02,231,28.77000,71.05762,101252.66406,,,,
2019-11-07 00:31:57 -02,232,28.77000,71.08008,101262.41406,,,,
2019-11-07 00:32:18 -02,233,28.79000,70.98145,101256.45313,,,,
2019-11-07 00:32:39 -02,234,28.77000,70.95410,101249.53125,,,,
2019-11-07 00:32:59 -02,235,28.75000,71.03125,101249.10156,,,,
2019-11-07 00:33:20 -02,236,28.75000,70.97461,101265.88281,,,,
2019-11-07 00:33:41 -02,237,28.70000,71.08203,101255.76563,,,,
2019-11-07 00:34:02 -02,238,28.68000,71.07715,101245.32813,,,,
2019-11-07 00:34:22 -02,239,28.68000,71.22656,101248.81250,,,,
2019-11-07 00:34:43 -02,240,28.71000,71.17480,101248.73437,,,,
2019-11-07 00:35:04 -02,241,28.73000,71.12207,101251.50000,,,,
2019-11-07 00:35:24 -02,242,28.73000,71.05273,101252.01562,,,,
2019-11-07 00:35:45 -02,243,28.74000,71.01855,101253.34375,,,,
2019-11-07 00:36:06 -02,244,28.74000,70.93848,101251.55469,,,,
2019-11-07 00:36:26 -02,245,28.69000,70.96582,101246.77344,,,,
2019-11-07 00:36:47 -02,246,28.70000,71.03613,101250.17187,,,,
2019-11-07 00:37:08 -02,247,28.72000,70.99316,101242.68750,,,,
2019-11-07 00:37:29 -02,248,28.71000,70.98145,101247.93750,,,,
2019-11-07 00:37:49 -02,249,28.75000,70.92871,101249.01562,,,,
2019-11-07 00:38:10 -02,250,28.78000,70.82910,101252.71875,,,,
2019-11-07 00:38:31 -02,251,28.79000,70.78613,101248.99219,,,,
2019-11-07 00:38:52 -02,252,28.80000,70.71875,101247.81250,,,,
2019-11-07 00:39:12 -02,253,28.82000,70.67480,101244.72656,,,,
2019-11-07 00:39:33 -02,254,28.80000,70.67285,101242.46875,,,,
2019-11-07 00:39:54 -02,255,28.81000,70.67480,101246.28125,,,,
2019-11-07 00:40:14 -02,256,28.81000,70.67480,101247.01563,,,,
2019-11-07 00:40:35 -02,257,28.78000,70.69336,101251.62500,,,,
2019-11-07 00:40:56 -02,258,28.77000,70.72559,101252.96875,,,,
